index;parent_index;operations;direction
0;1;rrr;0
1;5;rrr;0
2;6;r;0
3;3;rrr;2
4;12;r;0
5;5;rr;2
6;11;rrr;1
7;16;rrr;1
8;4;r;0
9;1;rr;0
10;16;rrrd;1
11;5;d;1
12;14;r;2
13;15;r;3
14;9;rr;1
15;10;rr;0
16;17;rr;0
17;6;rr;1
18;16;r;3
19;2;r;1
20;10;r;0
21;13;r;1
22;11;r;0
23;6;rrr;1
24;16;rr;0
25;7;rr;3
26;12;rrr;0
27;13;rr;3
28;24;r;2
29;12;rr;0
30;5;r;3
31;17;r;3
32;28;rrr;0
33;0;r;3
34;18;r;1
35;7;r;1
36;25;rrr;3
37;9;r;2
38;25;rr;1
39;29;rrr;2
40;1;r;1
41;29;r;3
42;30;r;0
43;2;rrr;1
44;2;rr;3
45;31;rr;0
46;32;rr;1
47;33;rr;0
48;15;d;0
49;3;rr;1
50;14;rrr;0
51;15;rrr;1
52;5;rrd;2
53;21;r;2
54;27;rrd;0
55;24;rrr;3
56;26;rr;1
57;13;rrr;0
58;7;rrr;1
59;8;rrr;3
60;23;rrr;3
61;3;r;2
62;6;d;3
63;37;rrr;1
64;31;r;2
65;20;r;0
66;25;r;2
67;28;rr;3
68;39;d;2
69;40;r;1
70;35;r;0
71;17;rrr;2
72;28;r;1
73;26;r;3
74;23;r;2
75;37;r;0
76;31;rrr;3
77;39;rrd;2
78;41;rrr;0
79;8;rr;1
80;24;rr;1
81;47;rr;2
82;32;r;1
83;20;rr;0
84;11;rr;0
85;42;r;0
86;6;rrrd;3
87;37;rr;2
88;44;r;0
89;8;r;2
90;24;rrrd;3
91;42;rrr;2
92;39;rrr;1
93;48;rr;0
94;33;r;0
95;49;rr;0
96;26;rrr;2
97;27;rrr;1
98;43;rrr;2
99;1;d;1
100;1;rrrd;0
101;48;r;3
102;45;rrr;0
103;20;rrr;0
104;18;rr;3
105;46;rr;1
106;47;r;0
107;18;rrr;0
108;24;rd;3
109;39;r;0
110;14;rr;1
111;15;rr;0
112;9;rrr;3
113;29;rr;0
114;1;rrd;3
115;48;rrr;1
116;27;r;3
117;0;d;1
118;16;rrd;0
119;19;rrr;2
120;50;rrr;0
121;15;rrd;0
122;43;r;3
123;50;rr;2
124;41;rr;0
125;47;rrr;1
126;6;rd;0
127;16;d;1
128;19;r;2
129;6;rrd;1
130;16;rd;3
131;15;rrrd;0
132;1;rd;0
133;33;rrr;1
134;30;rrr;0
135;2;d;2
136;49;rrr;0
137;34;r;2
138;56;r;1
139;50;r;2
140;22;r;0
141;27;rr;1
142;39;rr;3
143;5;rd;3
144;42;rr;0
145;23;rr;1
146;10;rrr;0
147;57;rrr;0
148;56;rrr;1
149;55;rrr;0
150;38;rrr;0
151;19;rr;0
152;15;rd;3
153;45;rr;0
154;4;d;0
155;27;rrrd;2
156;43;rr;0
157;49;r;0
158;3;rrd;1
159;30;rr;0
160;14;rrrd;3
161;4;rd;0
162;59;rr;0
163;14;rd;1
164;53;r;3
165;54;r;0
166;34;rr;2
167;35;rr;0
168;36;rr;0
169;26;rrd;0
170;32;rrr;0
171;14;rrd;3
172;55;r;2
173;53;rr;0
174;23;rrd;1
175;56;rr;3
176;34;rrr;2
177;11;rrrd;1
178;2;rd;1
179;55;rr;0
180;53;rrr;0
181;62;rrr;0
182;9;d;0
183;7;rd;0
184;46;rrr;2
185;27;rd;2
186;9;rrrd;2
187;27;d;0
188;41;r;0
189;40;rr;1
190;5;rrrd;0
191;58;r;0
192;7;d;3
193;71;rr;0
194;54;rr;0
195;2;rrrd;1
196;76;r;2
197;29;rrrd;0
198;44;d;0
199;58;rr;0
200;10;rrrd;0
201;45;r;0
202;35;rrr;2
203;36;rrr;0
204;12;d;0
205;51;rrr;2
206;14;d;1
207;61;rr;1
208;0;rd;3
209;77;r;0
210;24;rrd;1
211;66;rrr;1
212;73;r;0
213;59;r;2
214;51;r;0
215;75;r;0
216;65;r;1
217;26;d;0
218;7;rrd;2
219;47;rd;1
220;12;rrd;0
221;21;rrr;1
222;28;rrrd;1
223;74;rr;3
224;25;rrd;1
225;39;rrrd;0
226;75;rr;3
227;65;rr;0
228;23;rd;3
229;72;rrr;0
230;60;r;2
231;36;r;0
232;71;rrr;3
233;17;rd;3
234;2;rrd;3
235;62;r;0
236;47;rrrd;0
237;23;d;0
238;72;rr;0
239;3;d;1
240;26;rrrd;2
241;24;d;1
242;57;rr;3
243;11;rd;1
244;52;rr;0
245;63;rr;3
246;8;rrrd;3
247;38;rr;0
248;58;rrr;0
249;39;rd;0
250;77;rr;1
251;9;rd;0
252;10;rd;0
253;61;rrr;3
254;13;rd;1
255;57;r;1
256;9;rrd;1
257;66;rr;3
258;67;rr;1
259;69;rr;0
260;13;rrrd;0
261;75;rrd;0
262;50;d;3
263;26;rd;0
264;12;rrrd;0
265;25;rd;0
266;7;rrrd;1
267;46;r;1
268;54;rrr;0
269;75;rd;1
270;82;rr;1
271;81;rr;2
272;68;rr;1
273;80;rr;0
274;3;rrrd;3
275;8;d;0
276;25;rrrd;0
277;47;d;0
278;82;rrr;0
279;65;rd;0
280;95;rrr;0
281;78;rr;2
282;72;r;0
283;60;d;1
284;64;r;0
285;52;rrr;2
286;62;rr;0
287;70;r;0
288;65;rrd;1
289;84;rrr;2
290;85;rrr;0
291;92;rrr;0
292;70;rr;0
293;22;rrr;2
294;76;rrr;0
295;28;d;0
296;43;rrrd;1
297;31;d;0
298;94;rrr;2
299;33;d;2
300;100;r;0
301;89;r;0
302;80;r;0
303;83;rr;0
304;17;rrrd;2
305;76;rr;1
306;80;rrr;0
307;28;rd;0
308;75;rrrd;1
309;29;rd;2
310;64;rrr;0
311;10;rrd;0
312;38;r;0
313;59;rrr;0
314;37;rd;0
315;60;rr;0
316;22;rr;0
317;51;rr;1
318;102;rrr;0
319;94;r;0
320;95;r;0
321;50;rrrd;1
322;86;rrr;2
323;87;rrr;1
324;88;rrr;0
325;93;rr;0
326;65;rrrd;0
327;12;rd;0
328;60;rrd;2
329;104;rr;0
330;92;rr;0
331;96;rrr;0
332;56;rrd;0
333;97;rr;0
334;17;d;1
335;60;rrr;3
336;3;rd;3
337;75;rrr;1
338;65;rrr;0
339;23;rrrd;0
340;82;r;2
341;89;rrr;0
342;63;rrr;2
343;67;rrr;2
344;101;rrr;0
345;91;rrr;1
346;55;rd;3
347;49;rd;0
348;63;r;0
349;84;r;0
350;89;rr;0
351;61;r;2
352;106;rr;0
353;66;r;1
354;10;d;0
355;37;rrd;3
356;64;rr;0
357;48;rrrd;1
358;96;r;0
359;21;rr;1
360;83;r;0
361;33;rrd;0
362;100;rr;0
363;85;r;0
364;92;r;0
